,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
20,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,thegreyd
21,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,DevArenaCN
22,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,DevArenaCN
23,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,DevArenaCN
24,demilestoned,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1489600400.0,1492114473.0,1489019265.0,84,[u'd93f0b'],[u'mediumpriority'],None,994763.0,v3,None,1488998437.0,1489993200.0,Confirmation mail doesn't open inside the app,thegreyd
25,milestoned,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1489600400.0,1492114473.0,1489019265.0,84,[u'd93f0b'],[u'mediumpriority'],None,994763.0,v3,None,1488998437.0,1489993200.0,Confirmation mail doesn't open inside the app,thegreyd
26,closed,thegreyd,[u'thegreyd'],1,1489381069.0,1489381069.0,1489371865.0,86,[],[],None,994763.0,v3,None,1488998437.0,1489993200.0,Bug fixes and more Features,thegreyd
27,merged,thegreyd,[u'thegreyd'],1,1489381069.0,1489381069.0,1489371865.0,86,[],[],None,994763.0,v3,None,1488998437.0,1489993200.0,Bug fixes and more Features,thegreyd
28,referenced,thegreyd,[u'thegreyd'],1,1489381069.0,1489381069.0,1489371865.0,86,[],[],None,994763.0,v3,None,1488998437.0,1489993200.0,Bug fixes and more Features,thegreyd
29,assigned,thegreyd,[u'thegreyd'],1,1489372016.0,1489381069.0,1489371865.0,86,[],[],None,994763.0,v3,None,1488998437.0,1489993200.0,Bug fixes and more Features,thegreyd
30,milestoned,thegreyd,[u'thegreyd'],1,1489372005.0,1489381069.0,1489371865.0,86,[],[],None,994763.0,v3,None,1488998437.0,1489993200.0,Bug fixes and more Features,thegreyd
